Código de grupo;Disco;Título;Duración minutos
1;Rock Classics;Stairway to Heaven;8
17;Pop Hits;Bohemian Rhapsody;6
1;Indie Vibes;Sweet Child o' Mine;5.5
1;Jazz Grooves;Hotel California;6.5
19;Electronic Beats;November Rain;8.5
1;Rap Legends;Smells Like Teen Spirit;5
1;Country Roads;Back in Black;4.5
16;Metal Mayhem;Livin' on a Prayer;4
18;Classical Masterpieces;Wonderwall;4.5
15;Reggae Vibes;Under Pressure;4.5
2;Rock Classics;Shape of You;4
15;Pop Hits;Happy;3.5
2;Indie Vibes;Uptown Funk;4.5
2;Jazz Grooves;Can't Stop the Feeling!;4
2;Electronic Beats;Despacito;4.5
2;Rap Legends;Rolling in the Deep;3.8
2;Country Roads;Someone Like You;5
19;Metal Mayhem;Hello;4.5
2;Classical Masterpieces;All of Me;4
2;Reggae Vibes;Roar;3.5
3;Rock Classics;Little Talks;3.5
19;Pop Hits;Pumped Up Kicks;4
3;Indie Vibes;Ho Hey;2.5
3;Jazz Grooves;Take Me to Church;4
3;Electronic Beats;Counting Stars;4
3;Rap Legends;Riptide;3
15;Country Roads;Somebody That I Used to Know;4.5
3;Metal Mayhem;The Cave;4.5
15;Classical Masterpieces;Radioactive;3.5
3;Reggae Vibes;Sweater Weather;4
4;Rock Classics;Take Five;5.5
19;Pop Hits;So What;9
4;Indie Vibes;My Favorite Things;5
19;Jazz Grooves;All Blues;11
4;Electronic Beats;Cantaloupe Island;5.5
4;Rap Legends;Blue Monk;6
12;Country Roads;Autumn Leaves;6.5
19;Metal Mayhem;Round Midnight;7
4;Classical Masterpieces;Watermelon Man;6
4;Reggae Vibes;Summertime;5
20;Rock Classics;Around the World;7
20;Pop Hits;One More Time;5.5
5;Indie Vibes;Harder, Better, Faster, Stronger;3.5
5;Jazz Grooves;Clarity;4
20;Electronic Beats;Titanium;4.5
5;Rap Legends;Levels;3.5
13;Country Roads;Animals;5
5;Metal Mayhem;Scary Monsters and Nice Sprites;4
5;Classical Masterpieces;Summit;4.5
13;Reggae Vibes;Midnight City;4
6;Rock Classics;Lose Yourself;6
6;Pop Hits;Stan;6
6;Indie Vibes;Juicy;5
14;Jazz Grooves;N.Y. State of Mind;4.5
6;Electronic Beats;Gin and Juice;4
13;Rap Legends;Empire State of Mind;4
6;Country Roads;Changes;4
6;Metal Mayhem;99 Problems;4.5
13;Classical Masterpieces;Still D.R.E.;4
6;Reggae Vibes;Straight Outta Compton;4.5
7;Rock Classics;Wagon Wheel;4
14;Pop Hits;Take Me Home, Country Roads;3
7;Indie Vibes;The Gambler;4
14;Jazz Grooves;Friends in Low Places;4
7;Electronic Beats;Cruise;3.5
14;Rap Legends;Chicken Fried;3.5
7;Country Roads;Jolene;4
7;Metal Mayhem;Ring of Fire;2.5
7;Classical Masterpieces;Country Roads;3.5
7;Reggae Vibes;On the Road Again;3.5
8;Rock Classics;Master of Puppets;8.5
8;Pop Hits;Enter Sandman;5.5
15;Indie Vibes;Paranoid;2.5
8;Jazz Grooves;Raining Blood;4
15;Electronic Beats;Crazy Train;4.5
8;Rap Legends;The Trooper;4
8;Country Roads;Walk;5
15;Metal Mayhem;Seek & Destroy;6
8;Classical Masterpieces;Holy Diver;5
8;Reggae Vibes;Ace of Spades;2.5
9;Rock Classics;Für Elise;3
9;Pop Hits;Moonlight Sonata;6
16;Indie Vibes;Symphony No. 5;7
16;Jazz Grooves;Symphony No. 9;6
16;Electronic Beats;The Four Seasons;8
16;Rap Legends;Canon in D;5
9;Country Roads;Ride of the Valkyries;5.5
9;Metal Mayhem;Symphony No. 40;5
9;Classical Masterpieces;Symphony No. 6;8
9;Reggae Vibes;Piano Sonata No. 14;5.5
17;Rock Classics;Three Little Birds;3.5
17;Pop Hits;Buffalo Soldier;4
17;Indie Vibes;No Woman, No Cry;3.5
10;Jazz Grooves;Redemption Song;3.5
17;Electronic Beats;I Shot the Sheriff;4.5
12;Rap Legends;Jamming;3
10;Country Roads;Is This Love;3.5
10;Metal Mayhem;Stir It Up;3.5
10;Classical Masterpieces;Get Up, Stand Up;3
10;Reggae Vibes;Could You Be Loved;4
11;Rock Classics;The Cave;4.5
18;Pop Hits;Home;5
11;Indie Vibes;Little Lion Man;4
18;Jazz Grooves;The Times They Are a-Changin';3
18;Electronic Beats;Wagon Wheel;3.5
11;Rap Legends;Ho Hey;2.5
11;Country Roads;I Will Wait;4
2;Metal Mayhem;Stubborn Love;4
19;Classical Masterpieces;Skinny Love;3.5
20;Reggae Vibes;Sigh No More;3.5
12;Rock Classics;Stayin' Alive;4
